CharacterID,Name,Real Name,ImageURL,Powers,Weaknesses,Bio
12108,Satanna (DC),Sara Descarl ,12108_20080528005813_char.jpg,,,Satanna was a surgeon who discovered a way to transplant human brains into tigers.  One of her victims she planned to do this procedure with was Shiera.  She was stopped by the Hawks. |||| |||| She return later with Fadeaway Man and made several Manhawks to attack Hawkman with.
865,Felix Faust,,865_20070213185043_char.jpg,Sorcerer with a variety of magical abilities.,,None entered.
42251,Zachary 'Zip' Nolan,,,,,None entered.
3534,Grim Reaper (Marvel),Eric Williams ,3534_20070125132301_char.jpg,"As a zombie, he had unnatural strength and endurance, and was largely oblivious to pain and injury; he maintained his undead existence by draining the life forces of others through his scythe. After empowerment by Lloigoroth and Blackheart, the Reaper could perform illusion casting, shape-shifting, energy blasts, teleportation, inter-dimensional travel, conjuring/commanding minor demonic creatures, matter restructuring, remote communication, remote surveillance, transmutation, emotion vampirism (feeding off the despair of others) and reanimating the dead as his zombie servants.",,"Supposedly born bad, Eric Williams always defined himself by comparison to his 'good' brother, Simon. Both brothers struggled in vain for the approval of their demanding, abusive father, Sanford; but where Simon was shy and studious, Eric was athletic, wild and reckless. Regarded as the black sheep of the family, Eric became a thief and tried unsuccessfully to pressure Simon into participating in his petty crimes. Secretly admiring Simon's virtue, Eric developed an unrealistically idealized view of his brother, whom he loved and resented in equal measure. Scorning his family's high-tech manufacturing business, Eric became a gambler and a professional criminal, rising within the ranks of the Maggia organized crime cartel. Simon, meanwhile, dutifully entered the family business and took over its management after Sanford's death. Williams Innovations gradually failed, thanks in part to stiff competition from rival firm Stark Industries, and a desperate Simon turned to Eric for help-though Eric's attempted intimidation and coercion of business rivals and potential clients failed to produce useful results. As a last resort, Simon stole money from his own company, hoping to invest it in Eric's Maggia ventures for a fast profit and save the business; but Simon got caught, and was arrested for embezzlement. Unable to accept his brother's fall from grace, Eric lied to his mother and others by claiming that he was the real embezzler, insisting that Simon had merely taken the blame. |||| |||| Simon was transformed into Wonder Man by Baron Heinrich Zemo and used against the Avengers before sacrificing himself to save the heroes, who preserved a copy of his brain patterns in the hope of resurrecting him someday. Learning of Simon's apparent demise, Eric went mad with grief and wrongly blamed the Avengers for Simon's death. He hired the Tinkerer to build him a high-tech miniature arsenal in the form of a scythe, enhancing it with a coma-inducing device created by the mad robot Ultron, a fellow Avengers enemy who became so intrigued by Eric's family-inspired vendetta that he secured a copy of Simon's brain patterns for experimental purposes, later using them to create the android Vision. As the Grim Reaper, Eric very nearly killed the Avengers but was thwarted by the Black Panther. Escaping, the Reaper recruited fellow Avengers foes Living Laser, Man-Ape (M'Baku), Power Man (Erik Josten) and Swordsman (Jacques Duquesne) into the Lethal Legion, whose members competed with each other to see who could capture or kill the most Avengers; but the Legion was soon defeated and imprisoned, thanks largely to a new Avengers recruit, the Vision, whom the Reaper could not bring himself to kill. |||| |||| Stealing and preserving Simon's body, the Reaper offered to transfer Vision's mind into it and make him human in exchange for not opposing Reaper's efforts to destroy the Avengers, though Vision refused. Later, in partnership with a Space Phantom and unwittingly manipulated by Immortus, the Reaper seized control of a faction of the subversive group Hydra and conspired against the Avengers, again tempting Vision with offers of a human body, at one point promising to seize the body of Captain America for this purpose. Vision played along to infiltrate the Reaper's plans but ultimately helped the Avengers defeat the villains, though the Reaper and Vision saved each other's lives in turn during the fight. Captured and imprisoned, Eric eventually escaped and recovered Simon's body, which had actually been in a death-like stasis for years while he mutated into a new form. Once Simon was revived (apparently with the aid of Ultron), the Reaper hired the voodoo master Black Talon (Sam Barone) to send the half-dead hero after the Avengers in a zombie-like state, though Simon soon regained full consciousness and took up residence with the Avengers. Aided in penetrating Avengers security by Ultron, the Reaper imprisoned Vision, Wonder Man and several Avengers, staging a mock trial to determine whether the mutated Wonder Man or the android Vision was truly the real Simon Williams. The Reaper decided in favor of Simon and would have killed Vision, but he was defeated by Wonder Man. |||| |||| Deciding that Wonder Man and Vision were both inhuman mockeries of the true Simon, the Reaper tried unsuccessfully to kill them before enlisting his new lover Nekra and old allies Ultron, Black Talon, Goliath (Josten) and Man-Ape in a bizarre scheme to destroy the Avengers and re-create the 'real' Simon Williams by transferring portions of the minds of Vision and Wonder Man into the voodoo-animated corpse of criminal Brady Kent, which had been surgically altered to duplicate Simon's original human form. The plan failed and the Reaper-having belatedly realized that Vision and Wonder Man were truly his brothers-fell to his death while fleeing in shame. Nekra revived Eric as an unwitting, unusually lifelike zombie, teaming with him and the Brady Kent zombie to assault the hospital where Vision's wife Scarlet Witch was giving birth; but the Reaper fell dead when he broke Nekra's spell by discovering, to his horror, that he was a zombie. A Grim Reaper soon fought the Avengers as part of Immortus's Legion of the Unliving, but whether that was the true Eric Williams or not is unclear. Later, Nekra raised the Reaper again, this time as a zombie who could sustain his existence by draining others' life force with his scythe, an ability he tested by fatally stabbing Nekra. He renewed his partnership with Ultron, but did so in order to subvert Ultron's plans to 'robotize' humanity since this scheme would have deprived the Reaper of human victims; in the end, both villains were captured by the Avengers. Shortly thereafter, the Red Skull used both Reaper and Ultron as part of his mind-controlled army of super-villains in a world conquest scheme involving a giant laser cannon, but the Avengers thwarted this plot. |||| |||| Gaining power from the demonic Old Ones' Lloigoroth, the Reaper caused an airliner crash and captured a commuter train, transforming some of his victims into superhuman zombie facsimiles of deceased Avengers foes, apparently imbuing them with the originals' spirits. Reaper's Legion of the Unliving nearly destroyed the Avengers, but his hold over the zombies broke when Vision forced Eric to admit that he had killed himself and the Avengers were not to blame. The Reaper was seemingly consumed by Lloigoroth for his failure. Later, the Reaper appeared to haunt Simon again as part of a baffling conflict staged by the demons Mephisto and Blackheart, though how much (if any) of this encounter was real remains unclear. When Wonder Man died again and mystically returned in a ghostly state, the barriers between life and death weakened enough for Grim Reaper's spirit to return to the earthly plane, mystically enslaving the spirits of Wonder Man and several other dead Avengers to attack the living Avengers. However, the undead Avengers were freed from the Reaper's control by the Scarlet Witch and turned on the Reaper, helping the living Avengers defeat him. In the end, most of the undead Avengers returned to their respective afterlives, but Wonder Man was fully resurrected through the Witch's magic, which also restored the Grim Reaper to life after he was forced to admit his love for his brother. |||| |||| Since his rebirth, the Reaper has apparently decided to abandon his old obsessions. He has even fought alongside the Avengers twice, aiding them against their common enemies Ultron and Alkhema; however, the Reaper remains a ruthless criminal and has renewed his association with the Maggia, renewing his enmity with the Avengers in the process."
492,Captain Comet,Adam Blake ,492_20070222194304_char.jpg,,,None entered.
2346,Ultra-Humanite (DC)(Gerard Shugel),Gerard Shugel ,2346_20070831152635_char.jpg,,,None entered.
1031,Red Star (DC),Leonid Kovar ,1031_20070302212208_char.jpg,,,None entered.
24330,Chief Branner,,,,,None entered.
4749,Aleta (Marvel),Aleta Ogord ,4749_20070423181422_char.jpg,"Aleta can create focus photons into solid light constructs (such as battering rams, bubbles, ramps, etc.). She can fly by standing on a disc of her solid light and mentally commanding it to rise upwards. Later she was shown to create more complicated constructions and manipulate them (moving and changing size) which appeared to be a power similar to DC Universe character Green Lantern. She was able to lift things weighting up to 50 tons, as well as increased stamina, durability and agility that are common among Arcturans, When she became Starhawk, Aleta gained the ability to fly at speeds approaching that of light, was able to survive in the vacuum of space, control various forms of energy to fire concussive blasts or create protective shields, and displayed limited precognition. She is able to phase through solid matter by aligning her own molecules in a corresponding pattern to the molecules of the object she is attempting to pass through.",,"Aleta Ogord, an Arcturan, was trained to be aggressive and resented her weak and intellectual adoptive brother Stakar. When she was physically merged with Stakar, such that only one of them could exist physically at any one time, she spent much time suspended in limbo. She grew passive and, in time, fell in love with Stakar. The Hawk God allowed the two to separate for a time, and she gave birth to three children, Tara, Sita, and John. |||| |||| Aleta's father, Ogord, sought revenge on Starhawk for abandoning him, kidnapped his grandchildren, and turned them into psychic vampires. The children were killed, and Aleta held it against Stakar for the rest of his life, as she felt he could have prevented it. |||| |||| Eventually, Aleta and Starhawk were separated, and she began a relationship with Vance Astro until a dying Starhawk reabsorbed her to save his own life. For a time, the merged being existed only in Stakar's newly darkened form, even when Aleta was in control, until Aleta finally overpowered Stakar, sent him back to his infant body in the past, and assumed the mantle of Starhawk. She held the title for a brief period, until Stakar returned during a visit to another timeline, after which she gave up the title and powers of Starhawk to be rid of Stakar's influence, which had made her cold and unfeeling. Alhtough she was still in love with Vance and was engaged to marry him, the series ended leaving the future of their relationship ambiguous."
18621,Obadiah Stane (Marvel)(Earth-55921),,18621_20080328093413_char.jpg,,,None entered.
