CharacterID,Name,Real Name,ImageURL,Powers,Weaknesses,Bio
1598,Red Tornado (DC)(02 - Android),John Smith ,1598_20070113094507_char.jpg,"Red Tornado can manipulate Air and wind, his body provides him with superhuman strength, physical resistance and speed, and self-repair.",,The Red Tornado was an android constructed by T.O. Morrow as part scheme to destroy the Justice League of America.
1612,Vixen (DC),Mari Jiwe Macabe ,1612_20070721211003_char.jpg,,,None entered.
43766,Carlo Giamotti,Carlo Giamotti ,,,,None entered.
3226,'Aunt' May Parker (Marvel)(Ultimates),,3226_20070908102336_char.jpg,,,None entered.
71,Parallax (01 - Hal Jordan),Harold 'Hal' Jordan ,71_20051111155306_char.jpg,,,None entered.
48657,Green (DC),,,,,None entered.
55664,Justin (Marvel)(Ultimate),Justin ,55664_20140529073735_char.jpg,,,None entered.
439,Doctor Fate (DC)(06 - Inza Nelson),Inza  Cramer-Nelson ,439_20080607202536_char.jpg,,,None entered.
2861,Mirage (DC)(02 - Miriam Delgado),Miriam Delgado ,2861_20100615075455_char.jpg,,,None entered.
169,Syzygy Darklock,,169_20070116055459_char.jpg,,,None entered.
