ComicID,SeriesID,Series,Issue Number,Issue Title,PublisherID,Publisher,ImageURL,Cover Date,Cover Price,Format,Synopsis
1,1,Transmetropolitan (1997),1,The Summer of the Year,1,DC Comics,1/1/1_20050917191424_large.jpg,September 1997,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
2,1,Transmetropolitan (1997),2,Down the Dip,1,DC Comics,1/2/2_20050917135511_large.jpg,October 1997,US $ 2.50,Color;  Standard Comic Issue; 32 pages,"Spider Jerusalem, now re-acclimated to City, ventures into the dangerous Angels 8 District, home of the Transients-  humans who have decided to become aliens through cosmetic surgery. But Spider's penetrating interview with the Transient's' leader may get him a scoop he didn't bargain for."
3,1,Transmetropolitan (1997),3,Up on the Roof,1,DC Comics,1/2/3_20050917191112_large.jpg,November 1997,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
8,4,Starman (1994),6,"1882: Back Stage, Back Then",1,DC Comics,1/43/8_20060129175058_large.jpg,April 1995,US $ 1.95,Color;  Standard Comic Issue; 36 pages,"A Tale of Times Past.  The Shade battles a mentalist attempting to steal a fortune from a young orphan.  The Shade saves the day, with the promise of a small part of Opal City as his reward."
9,4,Starman (1994),27,Christmas Knight,1,DC Comics,1/46/9_20060222152441_large.jpg,February 1997,US $ 2.25,Color;  Standard Comic Issue,"On Christmas Eve, Jack Knight helps a homeless man recover a sentimental locket, as a Christmas gathering occurs at the O'Dare home."
10,4,Starman (1994),20,"Sand and Stars, Part One",1,DC Comics,1/46/10_20060218224154_large.jpg,July 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"Jack Knight travels to New York City in order to obtain assistance from Wesley Dodds regarding an artifact belonging to the Mist.  While there, Jack becomes involved in a murder mystery at Dodds' retirement community."
11,4,Starman (1994),21,"Sand and Stars, Part Two",1,DC Comics,1/46/11_20060218230520_large.jpg,August 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"As the murder mystery deepens, Jack Knight attempts to confront those behind the events on his own."
12,4,Starman (1994),22,"Sand and Stars, Part Three",1,DC Comics,1/46/12_20060219020224_large.jpg,September 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,"With Jack Knight missing, Wesley Dodds investigates the unusual events surrounding the murders.  Dodds also reflects upon his relationship with Ted Knight."
13,5,Desolation Jones (2005),1,"Made in England, Part 1",1,DC Comics,1/856/13_20170508042722_large.jpg,July 2005,US $ 2.99,Color;  Standard Comic Issue; 36 pages,None entered.
14,4,Starman (1994),23,"Sand and Stars, Part Four",1,DC Comics,1/46/14_20060219021332_large.jpg,October 1996,US $ 2.25,Color;  Standard Comic Issue; 36 pages,Wesley Dodds attempts a daring rescue of Jack Knight as the events at the core of the mystery unfold and nothing is as it appears to be.
15,5,Desolation Jones (2005),2,"Made in England, Part 2",1,DC Comics,1/1/15_20050911215517_large.jpg,September 2005,US $ 2.99,Color;  Standard Comic Issue; 36 pages,None entered.
16,3,Fell (2005),1,,6,Image Comics,1/1/16_20050912001216_large.jpg,September 2005,US $ 1.99,Color;  Standard Comic Issue,None entered.
17,21,Jack Cross (2005),1,Love Will Get You Killed - One of Four,1,DC Comics,1/856/17_20170508043653_large.jpg,October 2005,US $ 2.50,Color;  Standard Comic Issue; 32 pages,None entered.
18,26,Ultimate Iron Man (2005),2,Ultimate Iron Man - #2,4,Marvel,1/2/18_20050920044005_large.jpg,June 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,"The second chapter of the biggest book of the year is here! Sci-Fi legend Orson Scott Card and comic book royalty Andy Kubert bring you the second part of the secret origin of Tony Stark, Ultimate Iron Man! A child of science and nature, Tony Stark is not like 'normal' kids - he's much more. See the construction of the man and his armor!"
19,26,Ultimate Iron Man (2005),3,Ultimate Iron Man - #3,4,Marvel,1/35/19_20051230050106_large.jpg,September 2005,US $ 2.99,Color;  Standard Comic Issue; 32 pages,Don't miss this amazing chapter where Tony meets Jim 'Rhodey' Rhodes for the first time!
20,27,Rann/Thanagar War (2005),1,The Fires of War,1,DC Comics,1/145/20_20061124223515_large.jpg,July 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
21,27,Rann/Thanagar War (2005),2,Dark Resurrection,1,DC Comics,1/2/21_20050919205816_large.jpg,August 2005,US $ 2.50,Color;  Standard Comic Issue,None entered.
22,29,Albion (2005),1,No Future In England's Dreaming,1,DC Comics,1/4/22_20050924211541_large.jpg,August 2005,US $ 2.99,Color;  Standard Comic Issue,None entered.
