CreatorID,Name,ImageURL,Bio,Date of Birth,Birthplace
233,Tom Orzechowski - 'Tom Orz',,None entered.,,
354,Pablo Marcos,,None entered.,,
1561,Zachary Rau,,None entered.,,
4448,Danimation,,None entered.,,
27,Guy Davis,27_20080525174123_creator.jpg,"Michigan based artist Guy Davis has been sketching and drawing as long as he can remember and has been content to go where his art would take him. A self-taught illustrator, Guy first tried his hand at cartooning with a strip that ran in his hometown newspaper during his high school years— which by all accounts is worth forgetting. It was after graduating and not really having any idea of what to do with himself outside of drawing, that he decided to try and continue in comics. In 1984 he created a tongue in cheek space opera “Quonto of the Star Corps” for the small press “Fantastic Fanzine”. Quonto was forgotten but the fanzine would later become Arrow Comics and lead to work on the comic series The Realm. After a few years at Arrow Comics, his work on The Realm would take him to Caliber Press and his first creator owned series; the Harvey Award nominated Baker Street. It was Baker Street that led him to DC/Vertigo and Sandman Mystery Theatre with Matt Wagner and Steve Seagle, and that collaboration would lead to many more projects and deadlines over the years to come. Since then he has worked for most of the major comic publishers along with providing numerous spot illos to the White Wolf roleplaying game series. Currently Guy is illustrating Mike Mignola’s ongoing B.P.R.D. series, the serial The Zombies That Ate The World for Metal Hurlant and continuing with his creator owned series The Marquis for ONI Press. He still resides in Michigan with his fiancée, the talented painter & sculptor Rosemary Van Deuren, a cat, a rabbit, two ferrets and a couple of horse skulls named Becky and Conrad.","January 1, 1966",
226,Du Lu Wang,,None entered.,1909,
150,Janice Race,,None entered.,,
174,Gene Ha,174_20051222173418_creator.jpg,"I was born in Chicago, but raised in South Bend, Indiana. The home of Notre Dame University. My parents were well-educated Korean immigrants who hoped their three sons would get prestigious degrees and move on to prestigious jobs. Didn't happen... |_| |_| I was the most introverted of the three Ha brothers. Being both a geek and a first generation Korean-American made me seek out escapist fantasy, especially comic books. While my brothers were both more artistically talented than me, neither of them had the patience to sit for hours on end working on one drawing. Or maybe they just had better things to do. I was the only brother not to play high school football. |_| |_| I think there are a lot of parallels between my generation of Asian-American comic book artists and the generation of Jewish artists and writers who created superheroes in the 1930's. Mystery men with super powers, secret identities, and absurdly Anglo names seemed to have attracted both generations. We were all the children of immigrants struggling to fit into America, and the fantasies of 1930's Jewish geeks still held appeal to 1980's Korean geeks. |_| |_| All of the typical comics names from the 80's were influences on me: Byrne, Miller, Sienkiewicz, Simonson, Moore, etc. But the most important was Matt Wagner. Mage is still a magical series to me, and the stubborn Kevin Matchstick and Sean the ghost are personal archetypes to this day. My dream is to make a series that will be as powerful to you (and myself) as that book was to me. |_| |_| Art appealed to me, not in and of itself, but as a way of creating comic books. South Bend public schools offered few classes in realistic drawing, so I took few elective classes in art. I mostly drew in other classes and after school. I was quite good at taking notes, then caricaturing the teachers before they moved on to a new idea. |_| |_| My high school's newspaper, the Clay Colonial, was where I really began to understand the graphic arts. I won the Most Valuable Staffer award, an unusual honor for the staff artist. I don't know where my high school and college degrees are, but I know where that plaque is. |_| |_| The most important thing one must do before learning is figure out what you don't know. When it came time to go to college, I had no proper portfolio and couldn't get into any self respecting school. Which is how I ended up at the Center for Creative Studies (now the 'College for Creative Studies'). In my first two years, I learned how little I knew. The last two years I tried to learn it. Art school can be incredibly useful, but the degree itself is meaningless. My art was still a mess when I graduated. I've met kids stuck on farms their whole lives who can draw better than I did then, and I've met art school grads whom I wouldn't want working on the Clay Colonial. In Minneapolis I shared a studio with two artists who held day jobs and hadn't been to art school. They were incredibly dedicated and were better artists than I was when I graduated. |_| |_| In my last semester at CCS, I sent out drawing samples to Marvel, and a week later to DC as an afterthought. Marvel sent an unintentionally vicious letter criticizing my perspective, anatomy, and technique, everything except my storytelling. In retrospect, they were mostly right about everything but the storytelling. Still, they were needlessly harsh. |_| |_| DC was interested. They sent me a sample script, liked the results, and I've had regular gigs ever since.","August 19, 1969","Chicago, IL"
216,Gaspar Saladino - 'Gaspar',,None entered.,"September 1st, 1927","Brooklyn, New York City, New York, USA"
14,Bjarne Hansen,,None entered.,,
