CharacterID,CharacterName,CharacterRealName,CharacterPicture,CharacterPowers,CharacterBiography,CharacterWeaknesses,ComicID
1,"Spider Jerusalem",,1_20061115135221_char.jpg,"Journalist Equipment: Photo taking glasses, \"Bowel Disruptor\""","Recreational phamaceuticals"," the Truth."",0
2,"Wolverine (Marvel)(01 - James 'Logan' Howlett)","James 'Logan' Howlett",1/5/2_20050930224337_char.jpg,"Amplified healing factor, Adamantium-laced skeleton and retractable claws, Super-humanly acute senses, Superhuman strength, stamina, agility, and reaction time.","Iron Man asked Wolverine to join the Avengers in New Avengers #06. He and Storm began dating in Wolverine and the X-Men #24. Wolverine lost his healing factor in Wolverine #06.",,0
9,"Cyclops (Marvel)(03 - Scott Summers)","Scott Summers",1/4/9_20050924203346_char.jpg,"Cyclops possesses the mutant ability to project a beam of heat-less ruby-colored concussive force from his eyes, which act as inter-dimensional apertures between this universe and another. Cyclops' body constantly absorbs ambient energy, such as sunlight,","Scott Summers was the first of two sons born to Major Christopher Summers, a test pilot for the U.S. Air Force, and his wife Katherine. Christopher was flying his family home from vacation when their plane was attacked by a spacecraft from the interstellar Shi'ar Empire. To save their lives, Katherine pushed Scott and his brother Alex out of the plane with the only available parachute. Scott suffered a head injury upon landing, thus forever preventing him from controlling his mutant power by himself. With their parents presumed dead, the authorities separated the two boys. Alex was adopted, but Scott remained comatose in a hospital for a year. On recovering, he was placed in an orphanage in Omaha, Nebraska that was secretly controlled by his future enemy, the evil geneticist Mister Sinister. As a teenager, Scott came into the foster care of Jack Winters, a mutant criminal known as the Jack O'Diamonds. After Scott began to suffer from severe headaches he was sent to a specialist who discovered that lenses made of ruby quartz corrected the problem. Soon after, Scott's mutant power first erupted from his eyes as an uncontrollable blast of optic force. The blast demolished a crane, causing it to drop its payload toward a terrified crowd. Scott saved lives by obliterating the object with another blast, but the bystanders believed that he had tried to kill them and rallied into an angry mob. Scott fled, escaping on a freight train. Winters sought to use Scott's new-found talent in his crimes, and physically abused the young boy when he initially refused. However, Scott's display of power had attracted the attention of the mutant telepath Professor Charles Xavier, who teamed up with F.B.I. agent Fred Duncan in their mutual attempt to find Scott. Scott was rescued from Winters' clutches and was enlisted by Xavier as the first member of the X-Men, a team of young mutants who trained to use their powers in the fight for human/mutant equality. As Cyclops, Scott became deputy leader of the X-Men. While he was a skilled tactician, his social skills were lacking. Scott had fallen in love with his teammate Jean Grey, but his reserved demeanor prevented him from expressing his feelings for her for years. When Xavier's other original recruits left the fold following an encounter with the sentient island-being Krakoa, Cyclops stayed on as deputy leader of the new team. Shortly thereafter, the cosmic entity known as the Phoenix Force took Jean's place. When it committed suicide, Scott believed the love of his life had died and he left the X-Men. During his time away from the team, Scott met fishing boat captain Lee Forrester who helped him work through his grief. Scott eventually returned to the X-Men whereupon he met Madelyne Pryor, a woman who bore an uncanny resemblance to Jean. Unaware that Madelyne was a clone of Jean created by Sinister, Scott fell in love with Madelyne and they were soon married. Madelyne fell pregnant and bore Scott a son named Nathan Christopher. When the real Jean emerged from suspended animation, Scott abandoned his wife and son and rejoined the other original X-Men in establishing a new team, X-Factor. During a demonic invasion of New York City, X-Factor and the X-Men fought against a super-powered and insane Madelyne. The invasion was thwarted after Madelyne perished in combat with Jean. Later, the mutant warlord named Apocalypse infected baby Nathan with a techno-organic virus. To save his son's life, Scott had to allow a member of the Clan Askani to transport Nathan two millennia into the future, where it had been foreseen that he would deliver the world from Apocalypse’s clutches. X-Factor disbanded soon after, and its members returned to the ranks of the X-Men. Scott and his long-time love Jean were married, and whilst on their honeymoon their spirits were taken into the time-stream by the Clan Askani’s matriarch. Arriving in the future, they inhabited new bodies and raised Nathan for twelve years. When they returned to their own time and bodies, Nathan remained in the future and ultimately matured into his time's greatest hero: Cable. Following Professor X's arrest for crimes committed as the evil psionic entity Onslaught, Scott assumed the role of leadership of the X-Men once more. Soon after, the government sponsored mutant-hunting operation known as \"Zero Tolerance\"" took effect",,0
12,"Beast (Marvel)(01 - Henry McCoy)","Henry  P. McCoy",12_20060123230419_char.jpg,"The Beast possesses superhuman strength, agility, endurance, and speed, despite his bulk. He possesses the agility of a great ape and the acrobatic prowess of an accomplished circus aerialist. His physiology is durable enough to allow him to survive a thr","While working at a nuclear power plant, Norton McCoy was exposed to massive amounts of radiation that affected his genes. As a result, Norton's son, Henry \"Hank\"" McCoy",,0
13,"Angel (Marvel)(03 - Warren Worthington III)","Warren Kenneth Worthington III",1/22/13_20051203110123_char.jpg,"Angel has fully feathered wings that span 16' and have a very flexible skeletal structure. He can fly by flapping his wings, and can reach speeds of up to 150 mph. Though he generally flies below the height of clouds at 6,500 feet, Angel can reach a heigh","Warren Worthington III was born in Centerport, New York to Kathryn Worthington and Warren Worthington Jr. He was attending a private school in his adolescence when white, feathered wings began to grow from his shoulder blades. At first Warren felt he was a freak, but he soon learned that he could use his wings to fly and to help people. When there was a fire in his dormitory, he borrowed some props from the school's drama department, dressed up as a \"heavenly\"" angel and rescued his friends. He soon learned that he in fact is a mutant. He donned a mask and costume and called himself the Avenging Angel and was a solo adventurer originally. He then began attending the Xavier School For Gifted Youngsters",,0
18,"Starman (DC)(07 - Jack Knight)","Jack Knight",1/4/18_20050925073219_char.jpg,,"Although Ted Knight, the original Starman, was his father, Jack cared little for the world of super-heroes, preferring his career as a collectibles dealer. However, when his brother, David, was killed in action shortly after taking on the role of Starman, Jack was forced into taking up the cosmic rod in order to protect Opal City and bring his brother's killer to justice. Since then, he imperceptibly came to love his role as Opal's protector, and found that he enjoyed being a hero. Recently, he embarked on a year-long quest in space to find Will Payton, his girlfriend Sadie's brother and a former Starman. He was eventually successful in his quest, but did not bring Payton back to Earth since the latter discovered he may be the reincarnation of an alien prince. Jack agreed to be a member of the Justice Society after the mission to ensure Fate's reincarnation, but following events in Opal City which kept him away for some time, he reconsidered and become a reservist, called in when the group was in desperate need of additional firepower. Later still, following the death of his father, and Sadie's announcement that she was pregnant, he decided to step down from the heroic world altogether in order to rear his two children (the first having been sired without his knowledge when he was raped by the Mist), passing the cosmic rod onto Courtney Whitmore, the current Star-Spangled Kid.",,0
19,"Shade (DC)","Richard 'Dickie' Swift",19_20120616112158_char.jpg,,"English by birth, the Shade finds himself most at home in Opal City, a place he has come to love dearly. Over a century ago, he and a dwarf called Culp experienced something which gave them command of a mysterious shadow-substance and made them immortal. Using these abilities for mercenary purposes, the two of them often clashed across the globe for many years, until finally Culp disappeared. The Shade made a name for himself, of a sort, as a costumed villain, fighting the masked mystery men of America for no reason other than for sport. In recent years, however, he has mellowed and reformed, tending to use his powers in protection of Opal City and could even be regarded as a hero of sorts, having formed friendships with a number of super-people, not least Starman Jack Knight. He has also had a final confrontation with Culp, who had been hiding within his own body for decades. He is now pursuing the current Spider, a member of the hated Ludlow family, against whom the Shade has a long-standing grudge.",,0
20,"Sandman (DC)(01 - Wesley Dodds)","Wesley Dodds",20_20051214051743_char.jpg,,"Wesley Dodds, the Golden Age Sandman, was the (DC) world's first costumed super-hero--according, at least, to one interpretation of the DCU's internal chronology.  (The events of Crisis on Infinite Earths has thrown that interpretation into some doubt.  Indeed, Crisis lent seemingly irresolvable doubt to virtually every Golden Age hero's \"first appearance in the DCU timeline\"" date.) In our world",,0
21,"Dian Belmont",,21_20091206054340_char.jpg,,"Long-time companion, but apparently never the wife, of Wesley Dodds, Dian Belmont is a celebrated author and Nobel Prize winner.  After  meeting Dodds at a ball in Adventure Comics #47, Dian soon partnered with Dodds romantically and professionally.  She was often seen as a conduit of information from her father, District Attorney Larry Belmont, to her lover, Dodds. She fully knew of Wesley Dodds' secret life as The Sandman (I), and, on at least one occasion, even wore his uniform and actively fought crime as The Sandman.  It might even be fair to technically call her The Sandman (II).  Incurring serious injuries while in the original Sandman uniform ( All-Star Squadron #18), Wesley Dodds decided soon thereafter to completely change his uniform.  She assisted with the redesign, which resulted in the purple-and-black design he would sport for most of the rest of the Golden Age. Long after their crime-fighting days were over, the couple decided to take a final trip around the world in the pages of Starman vol. 2 #30.  As they arrived in the Orient, she died of apparently natural causes.",,0
22,"Starman (DC)(01 - Ted Knight)","Ted Knight",22_20080411215502_char.jpg,,"Ted Knight, the Golden Age Starman, co-invented the gravity rod, or cosmic rod as it is currently called.  Knight, a brilliant scientist and millionaire playboy, suffered a mental breakdown in the 1950's due to guilt he felt for his association in the development of the atomic bomb.",,0
24,"Starman (DC)(03 - Mikaal Tomas)","Mikaal Tomas",24_20060322064057_char.jpg,,"Mikaal Tomas, an alien, blue-skinned warrior of Talok III, turned against his people when they were to invade the Earth in 1976. Now branded a traitor, Mikaal attempted to start a new life on Earth as Michael Thomas. He had a distinguishing but brief super-hero career as Starman, before becoming a thrill-seeking drug addict. At that time, he was kidnapped and \"traded\"" to various \""keepers\"". Some kept him as a collector's item",,0
27,"Starman (DC)(04 - Prince Gavyn)","Prince Gavyn",1/23/27_20051205185743_char.jpg,,"Gavyn was the Prince of the planet Kranaltine, the Throneworld of the Crown Imperial. Upon the death of Emperor Rilsom XVIII, Gavyn's sister Clryssa betrayed him to get to the throne herself, and left him in space to die. A being named M'ntorr saved Gavyn and taught him to use the cosmic powers he had been gifted with. Eventually, Gavyn overthrew his sister's rogue government, and ascended the throne together with his Lady Merria. Gavyn eventually sacrificed his life in the great Crisis. However, there have been theories that his life essence traveled through space and \"possessed\"" the dead body of an Earthman named Will Payton",,0
29,"Green Lantern (DC)(05 - Kyle Rayner)","Kyle Rayner",1/5/29_20050927083005_char.jpg,"Possesses Oan power ring, able to make any solid construct he can imagine.","When Hal Jordan shattered the Green Lantern Corps, the last remaining Guardian gave a power ring to a new hero - Kyle Rayner of Earth. Although he seemed to have been selected at random, Rayner worked hard to prove himself worth of the Green Lantern legacy. His upgraded ring has no weakness against the color yellow, and Rayner has handled himself well against the super-villain Major Force, and the Lantern hunting killer Fatality. Kyle forged friendships with Green Arrow II and Flash, and at one time had a serious relation ship with Alan Scott's daughter Jade.  Rayner assumed the identity of the near omnipotent Ion before bleeding off much of his power by resurrecting the Guardians. Kyle is now a seasoned veteran and will be spending most of his time in space rebuilding the Green Lantern Corps.",,0
30,"Patriot (Marvel)(02 - Elijah Bradley)","Elijah Bradley",30_20061222065504_char.jpg,,"Grandson of Isiah Bradley, the original Captain America from 'The Truth' mini-series.",,0
31,"Iron Lad (Marvel)","Nathaniel Richards",31_20070816024031_char.jpg,"The Iron Lad armor is composed of neuro-kinetic bio-metal, and he could alter its appearance and shape with his thoughts.  The armor enabled Iron Lad to have superhuman strength and allows him to fly.  It also enabled him to fire blasts of various kinds o","A younger and less evil version of Kang the Conqueror, killed his older self but had to go back to the future and become Kang in order to save the timeline.",,0
