ComicID,PublisherID,SeriesID,ComicIssueTitle,ComicIssueNumber,ComicImage,ComicCoverDate,ComicPrice,StoryArcID,ComicSynopisis,CharacterID,CreatorID,ComicRatingSum,ComicNumberOfRaters,ReviewID,TimelineItemID,ComicViewRanking,ComicVolumeID,ComicFormat
1,1,1,The Summer of the Year,1,1/1/1_20050917191424_large.jpg,Sep-97,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
2,1,1,Down the Dip,2,1/2/2_20050917135511_large.jpg,Oct-97,US $ 2.50,NULL,"Spider Jerusalem, now re-acclimated to City, ventures into the dangerous Angels 8 District, home of the Transients-  humans who have decided to become aliens through cosmetic surgery. But Spider's penetrating interview with the Transient's' leader may get him a scoop he didn't bargain for.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
3,1,1,Up on the Roof,3,1/2/3_20050917191112_large.jpg,Nov-97,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
8,1,4,"1882: Back Stage, Back Then",6,1/43/8_20060129175058_large.jpg,Apr-95,US $ 1.95,NULL,"A Tale of Times Past.  The Shade battles a mentalist attempting to steal a fortune from a young orphan.  The Shade saves the day, with the promise of a small part of Opal City as his reward.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
9,1,4,Christmas Knight,27,1/46/9_20060222152441_large.jpg,Feb-97,US $ 2.25,NULL,"On Christmas Eve, Jack Knight helps a homeless man recover a sentimental locket, as a Christmas gathering occurs at the O'Dare home.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
10,1,4,"Sand and Stars, Part One",20,1/46/10_20060218224154_large.jpg,Jul-96,US $ 2.25,NULL,"Jack Knight travels to New York City in order to obtain assistance from Wesley Dodds regarding an artifact belonging to the Mist.  While there, Jack becomes involved in a murder mystery at Dodds' retirement community.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
11,1,4,"Sand and Stars, Part Two",21,1/46/11_20060218230520_large.jpg,Aug-96,US $ 2.25,NULL,"As the murder mystery deepens, Jack Knight attempts to confront those behind the events on his own.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
12,1,4,"Sand and Stars, Part Three",22,1/46/12_20060219020224_large.jpg,Sep-96,US $ 2.25,NULL,"With Jack Knight missing, Wesley Dodds investigates the unusual events surrounding the murders.  Dodds also reflects upon his relationship with Ted Knight.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
13,1,5,"Made in England, Part 1",1,1/856/13_20170508042722_large.jpg,5-Jul,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
14,1,4,"Sand and Stars, Part Four",23,1/46/14_20060219021332_large.jpg,Oct-96,US $ 2.25,NULL,Wesley Dodds attempts a daring rescue of Jack Knight as the events at the core of the mystery unfold and nothing is as it appears to be.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
15,1,5,"Made in England, Part 2",2,1/1/15_20050911215517_large.jpg,5-Sep,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
17,1,21,Love Will Get You Killed - One of Four,1,1/856/17_20170508043653_large.jpg,5-Oct,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
18,4,26,Ultimate Iron Man - #2,2,1/2/18_20050920044005_large.jpg,5-Jun,US $ 2.99,NULL,"The second chapter of the biggest book of the year is here! Sci-Fi legend Orson Scott Card and comic book royalty Andy Kubert bring you the second part of the secret origin of Tony Stark, Ultimate Iron Man! A child of science and nature, Tony Stark is not like normal"""" kids - he's much more. See the construction of the man and his armor!""""",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
19,4,26,Ultimate Iron Man - #3,3,1/35/19_20051230050106_large.jpg,5-Sep,US $ 2.99,NULL,"Don't miss this amazing chapter where Tony meets Jim Rhodey"""" Rhodes for the first time!""""",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
20,1,27,The Fires of War,1,1/145/20_20061124223515_large.jpg,5-Jul,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
21,1,27,Dark Resurrection,2,1/2/21_20050919205816_large.jpg,5-Aug,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
22,1,29,No Future In England's Dreaming,1,1/4/22_20050924211541_large.jpg,5-Aug,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
23,1,29,Strange Doors That We Never Closed Again,2,1/4/23_20050924213027_large.jpg,5-Oct,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
24,4,30,Sidekicks Part One,1,1/887/24_20170928111753_large.jpg,5-Apr,US $ 2.99,NULL,"Four teenage superheroes have made the front page of the Daily Bugle.  No one knows who they are or where they came from.  Jessica Jones is assigned to investigate them for the Bugle.  Iron Man and Captain America want to shut them down before they hurt anyone, including themselves.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
25,4,30,Sidekicks Part Two,2,1/14/25_20051120004201_large.jpg,5-May,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
26,4,30,Sidekicks Part Three,3,1/2/26_20050920040929_large.jpg,5-Jun,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
27,4,30,Sidekicks Part Four,4,1/2/27_20050920040955_large.jpg,5-Jul,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
28,4,30,Sidekicks Part Five,5,1/2/28_20050920041026_large.jpg,5-Aug,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
29,4,30,Sidekicks Part Six,6,1/2/29_20050920041126_large.jpg,5-Sep,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
30,1,32,Airborne,1,1/154/30_20061231074132_large.jpg,5-Jul,US $ 3.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 48 pages
31,1,32,No Fear,2,1/240/31_20080215115131_large.jpg,5-Aug,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
32,1,32,Flight Delay,3,1/240/32_20080215115227_large.jpg,5-Sep,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
33,1,32,Alienated,4,1/240/33_20080215115535_large.jpg,5-Oct,US $ 2.99,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
36,1,56,A Rage in Arkham,1,1/1/36_20050910201609_large.jpg,Apr-96,US $ 2.25,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
37,1,6,Return... to Forever!,1,1/66/37_20060428072141_large.jpg,Mar-86,US $ 0.75,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
38,1,6,This Mortal Coil!,2,1/66/38_20060428072206_large.jpg,Apr-86,US $ 0.75,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
39,1,6,Breaking the Barrier,3,1/66/39_20060428072230_large.jpg,May-86,US $ 0.75,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
40,1,6,Circle of Fire,4,1/66/40_20060428072254_large.jpg,Jun-86,US $ 0.75,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
41,4,59,The Hill,1,1/120/41_20060912002143_large.jpg,1-Nov,US $ 3.50,NULL,"The newly orphaned Rose, a twelve year-old village girl, is taken in by John Howlett giving her a place to live and providing his sickly son a companion. The Howlett's mansion is extravagant, but is marked with tragedy. John's father, a self-made millionaire, despises his son's soft treatment of the help. John's wife, Elizabeth, lives upstairs, secluded from the rest of the family. She apparently struggles with mental illness., Rose soon becomes close friend with James and 'Dog' Logan, the caretaker Thomas Logan's son. Thomas Logan, however, is a much a classist as John's father and resents John's kindness to him and his son. He takes out his anger and frustation by beating his son with the slightest provocation.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
42,4,59,Inner Child,2,1/120/42_20060912001941_large.jpg,1-Dec,US $ 3.50,NULL,"The action in this issue takes place a few years after issue #1. Mrs. Hopkins sends Rose to check on James. Arriving at James' room, Rose walks in on another argument between John and his father. John had been explaining to James that he must learn how to manage the household. Rose is sent away and inadvertently walks in on Mrs. Hopkins as she is helping Elizabeth Howlett dress. Rose notices large claw-like scars on Elizabeth's bare back and is immediately thrown out of the room by Mrs. Hopkins. Shocked by what she has seen, Rose rushed oyt of the house only to be confronted by Dog who attempts to molest her. James intercedes by screaming that he is going to tell his father. Distracted, Dog is slapped by Rose, who is able to get away. John Howlett confronts Thomas Logan about his son's behaviour., Later, while visiting his older brother's grave, James is attacked by Dog for getting him into trouble. James' dog Callie bites Dog on the heal, who then grabs the dog, pulls out a knife, and kills it. This action leads to John firing Thomas and kicking him and Dog off of his property., Later that evening, Thomas and Dog retur to the house. They kill Mr. Kenneth and force Rose to let them into the house. They go upstairs to Elizabeth's room where they are confronted by John. John is beaten and executed just as James enters the room. James enraged, attacks Thomas and kills him. James screams with bone-like claws dripping with blood protruding from the back of his hands.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
43,4,59,The Beast Within,3,1/120/43_20060912002442_large.jpg,2-Jan,US $ 3.50,NULL,"In the aftermath of Thomas Logan's and John Howlett's deaths, James is thrown out of the house by his mother, calling him 'animal' and a 'damned abortion'. As he flees, Rose chases after him. As Dog is left severely wounded, Elizabeth puts a shotgun to her head and pulls the trigger. When the constables arrive with Old Man Howlett, Dog accuses Rose of commiting the killings. The next day James and Rose return to the house. Awaiting them is Howlett senior, who gives them money and tells them never to return. The pair head deeper within Canada seeking refuge at a distant outpost that provides stones for building. When asked Jame's name, Rose answers, 'Logan'.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
44,4,59,Heaven and Hell,4,1/679/44_20150119093547_large.jpg,2-Feb,US $ 3.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
45,4,59,Revelation,5,1/120/45_20060912002835_large.jpg,2-May,US $ 3.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
46,4,59,Dust to Dust,6,1/120/46_20060912003033_large.jpg,2-Jul,US $ 3.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
47,4,60,X-Men,1,1/381/47_20100215215502_large.jpg,Sep-63,US $ 0.12,NULL,"At Xavier's School for Gifted Youngsters in Westchester County, New York, Professor Charles Xavier summons his students telepathically. When the Beast, Angel, Iceman, and Cyclops arrive, he puts them through a series of exercises to hone their mutant talents. Xavier then introduces them to a new student, Marvel Girl, to whom he explains the purpose of his school: his students do receive an education, but they are also the first line of defense against evil mutants. Meanwhile, at Cape Citadel, Magneto causes a rocket to crash. The next day, he takes over the whole base and claims it in the name of Homo superior (i.e. mutants). When Xavier hears about the incident, he sends his X-Men on their first mission. Cyclops uses his eye beams to make a hole in Magneto's force field, thus alerting him to their presence. Magneto launches a volley of heat-seeking missiles, which lock on to Angel; Iceman knocks most of them out, and the Beast catches the last one. Magneto sends metal debris at Angel; Cyclops destroys it. Magneto flings a burning tanker truck at the team; Iceman covers them with an ice shield, and Cyclops blasts a tunnel under the flames so that they come up near Magneto. Unprepared for such power and resourcefulness, Magneto sets up another force field and levitates himself to safety.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 35 pages
48,1,15,Dead Man's Hand,1,1/47/48_20060226075635_large.jpg,3-Aug,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
49,1,4,Good Men and Bad: 1952,46,1/47/49_20060225153903_large.jpg,Sep-98,US $ 2.25,NULL,"There's a plot against Starman's life rumbling in the underground, but Bobo Benetti is unsure of what he's going to do about it. On one hand, he doesn't want to feel culpable to Ted Knight's murder. On the other hand, he's not a rat. He tries to get Shade to help, but Shade declines. The next day, Starman and the Jester get into a fight with the three supervillains who intend to kill him, but Bobo intervenes on the rooftops, beating the snipers into submission before they can kill Ted... Except for the last one, who is suddenly (and surprisingly) taken down by Shade.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
50,1,15,Goliath Part One,2,1/357/50_20090913033732_large.jpg,3-Sep,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
51,1,15,Goliath Part Two,3,1/357/51_20090913034753_large.jpg,3-Oct,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
52,1,15,Goliath Part Three,4,1/357/52_20090913035221_large.jpg,3-Nov,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
53,1,15,Goliath Part Four,5,1/357/53_20090913040037_large.jpg,3-Dec,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
