CreatorID,CreatorName,CreatorPicture,CreatorBiography,CreatorDOB,ComicID,CreatorBirthplace
1,"Warren Ellis",1/13/1_20051119011757_creator.jpg,"Warren Ellis (born February 16, 1968) is a British author of comics, novels, and television, well known for his sarcastic personality and sociocultural commentaries, both through his online presence and his writing, as well as his use of extropian and transhumanist themes (most notably nanotechnology, cryonics, uploading, and human enhancement). He is a resident of Southend-on-Sea, England. Ellis was born in Essex in February 1968, about seventeen months before Neil Armstrong landed on the moon on July 20, 1969; he reports that the televised broadcast of the event is his earliest coherent memory. He was a student at The South East Essex Sixth Form College, commonly known as SEEVIC. He contributed comic work to the college magazine, Spike, along with Richard Easter, who also later followed a career in writing. Prior to his career as a writer he had \done most of the shitty jobs you can imagine; ran a bookstore, ran a pub, worked in bankruptcy, worked in a record shop, lifted compost bags for a living\. Ellis' writing career started in the British independent magazine Deadline with a six page short story in 1990. Other early works include a Judge Dredd short and a Doctor Who one-pager. His first ongoing work, Lazarus Churchyard appeared in Blast!, a short lived British magazine. By 1994 Ellis began working for Marvel Comics, where he took over the series Hellstorm with #12, which he wrote until its cancellation with #21. He also did some work on the Marvel 2099 imprint, most notably in a storyline where a futuristic Doctor Doom took over the United States. His most notable early Marvel work is a run on Excalibur, a superhero series set in Britain. He also wrote a four-issue arc of Thor called \Worldengine\, in which he dramatically revamped both the character and book. Ellis then started working for DC Comics, Caliber Comics, and Image Comics' Wildstorm studio, where he wrote the Genï¿½ï¿½ spin-off DV8 and took over Stormwatch, a previously action-oriented team book, which he gave a more idea- and character-driven flavor. He wrote issues #37-50 with artist Tom Raney, and the 11 issues of volume two with artist Bryan Hitch. He and Hitch followed that with the Stormwatch spinoff The Authority, a cinematic super-action series for which Ellis coined the term \widescreen comics.\ In 1997 Ellis started Transmetropolitan, a creator-owned series about an acerbic \gonzo\ journalist in a dystopian future America, co-created with artist Darick Robertson and published by DC's Helix imprint. When Helix was discontinued the following year, Transmetropolitan was shifted to the Vertigo imprint, and remained one of the most successful non-superhero comics DC was then publishing . Transmetropolitan ran for 60 issues (plus a few specials), ending in 2002. It remains Ellis' largest work to date. 1999 saw the launch of Planetary, another Wildstorm series by Ellis and John Cassaday, and Ellis' short run on the DC/Vertigo series Hellblazer. He left that series when DC announced, following the Columbine High School massacre, that it would not publish \Shoot\, a Hellblazer story about school shootings, although the story had been written and illustrated prior to the Columbine massacre.Planetary was notoriously plagued with delays, but it conclude in 2009 with issue #27. Ellis also returned to Marvel Comics, as part of the company's \Revolution\ event, to head the \Counter-X\ line of titles. This project was intended to revitalize the X-Men spinoff books Generation X, X-Man, and X-Force, but it was not successful, and Ellis stayed away from mainstream superhero comics for a time. In 2003 Ellis started Global Frequency, a 12-issue limited series for Wildstorm, and continued to produce work for various publishers, including DC, Avatar Comics, AiT/Planet Lar, Cliffhanger and Homage Comics. In 2004 Ellis came back to mainstream superhero comics. He took over Ultimate Fantastic Four and Iron Man for Marvel under a temporary exclusive work for hire contract. Toward the end of 2004, Ellis released the \Apparat Singles Group\, which he described as \An imaginary line of comics singles. Four imaginary first issues of imaginary series from an imaginary line of comics, even.\ The Apparat titles were published by Avatar but carried only the Apparat logo on the cover. In 2006 Ellis worked on Jack Cross (for DC), which was not well received and subsequently cancelled. For Marvel, he worked on Nextwave, which lasted 12 issues. The series was critically acclaimed and only ended because Ellis didn't want to carry on with it after twelve issues. He also worked on the Ultimate Galactus trilogy. Ellis also took over the Thunderbolts monthly title, which deals with the aftermath of the Marvel Civil War crossover In honor of the 20th anniversary of Marvel's New Universe in 2006, Ellis and illustrator Salvador Larroca created a new series that re-imagines the New Universe, under the title newuniversal. The first issue was released on December 6, 2006. Ellis continues to work on several projects for different publishers, including Fell (for Image), Desolation Jones (for DC/Wildstorm), , Blackgas (for Avatar Comics). Ellis also wrote an episode of Justice League Unlimited entitled \Dark Heart\. Ellis has managed a series of online forums and media to promote his written works and his creative ideals. These forums are sharply moderated by Ellis and his assistants, to suit the particular purpose each one was created for. They include the Warren Ellis Forum, DiePunyHumans.com, the Bad Signal mailing list, WarrenEllis.com, Warren-Ellis.livejournal.com and The-Engine.net. He is popularly known as \Stalin,\ \The Love Swami,\ or \Internet Jesus\ on these forums. Ellis' first prose novel, Crooked Little Vein, was published in the summer of 2007 by William Morrow (an imprint of HarperCollins), with a second novel, Listener, to follow. He is also developing a television series for AMC called Dead Channel, for which he will be the sole writer. It has recently been announced that he is writing an animated direct to DVD feature film, Castlevania: Dracula's Curse, which will be based on the similarly titled video game Castlevania III: Dracula's Curse. Ellis has described himself as \a notorious pain in the arse for getting involved in book design\ According to a comment made in the first issue of Fell, he has more trade paperbacks in print than anyone else in the American comic industry. Ellis is currently writing a column for the Suicide Girls website that appears every Sunday, entitled \The Sunday Hangover.\ Ellis is also writing a Second Life column for Reuters titled Second Life Sketches In Second Life he's known under the name Integral Danton. On July 29th 2007 Ellis announced two new projects for Avatar press; FreakAngels, a free long-form webcomic illustrated by Paul Duffield, and Ignition City, an ongoing monthly series.","Feb. 16,1968",0,
2,"Darick Robertson",2_20100130230606_creator.jpg,"Darick Robertson is an American artist best known for his work as a comic book illustrator. Highly prolific, Robertson has illustrated hundreds of comics in his twenty plus years in the industry. His body of work ranges from science fiction characters of his own creation to headlining on renowned classic characters from Marvel and DC Comics. Robertson is best known as the co-creator and illustrator of the biting satires TRANSMETROPOLITAN and THE BOYS. In January of 2010 he wrote and illustrated CONAN: THE WEIGHT OF THE CROWN for Dark Horse Comics. Darick currently lives in California with his wife and two children. When he's not drawing comics, which is almost all the time, he creates custom action figures, writes music, sings and plays guitar. Original art for sale can be found at tinyurl.com/DarickR","November 10th",0,California
4,"Carlos Pacheco",4_20060911213920_creator.jpg,"In his early career, Carlos Pacheco did some work for Planeta Comics, an imprint of pan-European publisher Planeta De Agostini, mainly covers and pin-ups for Spanish translated editions of Marvel Comics, published at the time by Planeta. He later teamed up with writer Rafael Marin to create the Spanish superheroes Iberia Inc and Tríada Vértice for the same publisher. Pacheco first got attention in the United States for his work as penciller on Dark Guard, a 4-issue Marvel UK title where he worked with writer Dan Abnett and inker Oscar Jimenez. This led to him being offered work by American comic editors leading to Marvel Comics' 1994 Bishop four issue limited series where he worked with writer John Ostrander and inker Cam Smith. Later that year Pacheco did his first work for DC Comics on The Flash #93, 94 and 99, with writer Mark Waid and inker Jose Marzan Jr. After that Pacheco's next stateside work came in 1995's X-Universe two part limited series (a part of the Age of Apocalypse event), published by Marvel. Pacheco was joined by writer Terry Kavanagh and was again inked by Cam Smith. At the end of 1995 and the beginning of 1996 Pacheco and Smith collaborated with writer Warren Ellis on a Starjammers limited series. This series was successful enough that the creative team was reunited on Marvel's Excalibur ongoing series for a brief run in 1996. Shortly after this Pacheco became penciller on Marvel's Fantastic Four for two issues (#415-416), where he worked with writer Tom DeFalco as the title wrapped up in preparation for Heroes Reborn. By that point Pacheco's art had become a fan favorite, with his work regularly getting coverage in magazines such as Wizard. In early 1997 Marvel acknowledged this by assigning Pacheco to one of its flagship titles, X-Men, with #62 (March, 1997). On that title he worked with writers Scott Lobdell and Joe Kelly and inker Art Thibert. He left the title at #75 in May 1998. After X-Men, Pacheco began work on Avengers Forever a 12-issue limited series, where Pacheco worked with writer Kurt Busiek and (for the first time in the U.S.) inker Jesus Merino, who from that point on became Pacheco's regular inker. This series, which drew together many strands from various Avengers storylines to tell an epic adventure, was a critical, fan and commercial success. Pacheco's next regular assignment was in 2000, a return to the Fantastic Four, with Vol. 3 #35. This time he took on the co-writing chores (initially with Rafael Marin, later joined by Jeph Loeb) as well as pencilling duties. However Pacheco's pencilling contributions were shorter than expected, with his last art contribution coming in #50, and him leaving the book entirely by #54. While he was doing Fantastic Four Pacheco also wrote, again with co-writer Rafael Marin, a 4-issue Inhumans limited series, with pencils by Jose Ladronn and Jorge Lucas. His next substantial work after Fantastic Four was for DC Comics: JLA/JSA: Virtue and Vice, with writers David S. Goyer and Geoff Johns. This 100-page graphic novel united the Justice League and Justice Society against common foes in the style of what once had been an annual tradition. In 2003 Pacheco reunited with his Avengers Forever collaborator Kurt Busiek for the creator-owned fantasy war series Arrowsmith published by WildStorm. This series envisioned a world where magic is real and the First World War was fought with dragons, spells, vampires etc. used as weapons by both sides. The series ran for six issues and there are plans for future series set in that world which would again by written by Busiek and drawn by Pacheco. In 2004 Pacheco returned to super-heroes and DC Comics to pencil a five issue stint on the Superman/Batman title (\Absolute Power\, in #14-18), where he was again joined by writer Jeph Loeb. The two told a tale in which, due to the time-traveling machinations of the Legion of Super-Villains, Batman and Superman took over the world and a group of Freedom Fighters has to rise up against them. Later that year at DC, Pacheco went on to share alternate monthly pencilling duties with Ethan Van Sciver on the new Green Lantern series written by Geoff Johns. As of July 2006, he is once again working with Kurt Busiek on DC comics' Superman title. Busiek told readers of the Comic Bloc internet forum that Pacheco cannot draw 12 issues a year, and there will be fill-in artists.","November 14, 1961",0,"San Roque, Cadiz"
5,"Brian Michael Bendis",1/11/5_20051113042457_creator.jpg,"None entered.","August 18, 1967",0,"Cleveland, Ohio"
6,"Leah Moore",1/13/6_20051118060015_creator.jpg,"Leah Moore was born in Northampton, England to Alan and Phyllis Moore on the 4th of February, 1978. In 1990, at the age of twelve, she moved to Liverpool, where she met her future husband, John Reppion, just four years later, in 1994. Ten years after that, in October 2004, the two of them were married. Leah?s fascination with literature of all kinds led her to attend the University of Manchester, where she took a degree in Classics and English Literature. After that, her first published work was an 8-page story, ?King Solomon Pines,? with art by Sergio Aragones, in Tom Strong's Terrific Tales #5, in January 2003. This was soon followed by another 8-pager, ?Bad to the Bone,? drawn by Shawn McManus, in Tom Strong #19, in April 2003. After that, and with the encouragement of various people in the comics business, Leah and John Reppion co-write a proposal for a six-part series, which eventually became Wild Girl, with art by Shawn McManus and J. H. Williams III, published by Wildstorm Productions between November 2004 and April 2005. Based on Wild Girl, the pair were offered the opportunity to write a new series, Albion, due to debut from Wildstorm in June 2005. This is nothing short of a renaissance of many long-missing and well-loved characters from sixties and seventies British comics, and promises to be one of the most interesting comics to be seen in quite some time. The art is by Shane Oakley and George Freeman, with covers by Dave Gibbons, and is being co-written by Leah Moore and John Reppion, with plotting by Leah?s father, Alan Moore. As well as all this, Leah does a little illustration, having provided the original design for the cover of the Builth Balkan Crew CD, as well as providing illustrations to accompany some of her husband?s articles. She is also the pubic hair continuity advisor for Alan Moore and Melinda Gebbie?s Lost Girls, and provided articles for two books published in 2003 to mark the 50th birthday of her father. Bio by Anne M Kletcha","4th Februaby 1978",0,"Northampton, England, U.K."
7,"Jim Lee",1/4/7_20050924222652_creator.jpg,"Jim Lee (born August 11, 1964) is a Korean American comic book artist and publisher. He is known for his stylized, detailed and dynamic style. Some have called his work bombastic, but he remains one of the more popular artists in American comics. Lee was born in Seoul, South Korea, but grew up in the United States. Lee attended Princeton University and majored in psychology with the intention of becoming a medical doctor and graduated in 1986, but decided to pursue a career in comic book illustration instead. After inking one title (the book was Samurai Santa #1 and he only inked the cover) for a small, independent publisher, Lee found success at the largest North American comics publisher, Marvel Comics, as a penciller. His early Marvel work included Alpha Flight and Punisher War Journal. In 1989, he filled in for regular illustrator Marc Silvestri on Uncanny X-Men #248 and did another guest stint on issues 256 through 258. Lee became the series' regular penciller when Silvestri left in 1990. During his stint on Uncanny X-Men, Lee first worked with inker Scott Williams, who would become a long-time collaborator. Lee’s artwork quickly gained popularity in the eyes of enthusiastic fans, which allowed him to gain greater creative control of the franchise. In 1991, Lee helped launch a second X-Men series simply called X-Men, not only as the artist, but also as co-writer with long-time X-Men scribe Chris Claremont. Lee also designed new uniforms for characters such as Cyclops, Gambit, Jean Grey, Rogue, Psylocke and Storm, creating the images that an entire generation of X-Men readers would associate with the characters. X-Men #1 still is the best-selling comic book of all-time with sales of 8 million copies of the first issue, although multiple purchases of variant covers illustrated by Lee accounted for part of the sales frenzy. However, Lee ran into some creative hurdles. Claremont found it harder to work with Lee as their vision of the characters and storylines diverged. There was a prolonged power struggle over the future of the X-Men and in the end, Marvel X-Men editor Bob Harras favored the widly popular Lee, causing Claremont to depart the new X-Men series with issue 3. Despite this, Claremont and Lee later reunited on various projects and are reportedly on friendly terms. Claremont and Lee even engaged in a mutual interview for Wizard magazine in 1995. In 1992, Lee was one of seven artists who broke away from Marvel to form Image Comics. Lee's group of titles was christened Wildstorm Productions and published books such as Gen 13, Stormwatch, and Lee's pet title WildC.A.T.s, which was adapted into a short-lived cartoon series. Like most Image properties, these series were criticized for high levels of violence (although they were no more violent than the usual Marvel or DC comic at the time), excessive sexual references, and for emphasizing flashy art over storytelling. Despite such claims, Lee's stable of titles sold incredibly well, often exceeding a million copies per month in the early going, charting new highs in sales from an independent publisher. Lee and Rob Liefeld, another Marvel-illustator-turned-Image-founder, returned to Marvel in 1996 to participate in a reboot of several classic characters; the project was known as Heroes Reborn. While Liefeld reworked Captain America and The Avengers, Lee plotted Iron Man and wrote and illustrated The Fantastic Four. Lee managed to catapult Fantastic Four and Iron Man to the top of the sales charts, although fan reaction to this revamp of such well-known characters was mixed. Halfway through the project, Liefeld was fired from the project (poor sales - relative to Lee's output - were cited) and Lee's studio finished all four series. At the end of the one-year deal, Lee and Marvel agreed to hand the books over to other creators. Lee then concentrated in the Wildstorm line, attempting to break away from the stereotype of Image comics as all style and no substance by publishing critically acclaimed series' The Authority and Planetary. In publishing Alan Moore's America's Best Comics line, Wildstorm brought arguably the medium's most critically acclaimed writer back into mainstream publishing after almost a decade of independent work. Lee himself illustrated an original mini-series called Divine Right, in which an internet slacker inadvertently manages to download the secrets of the universe, and is thrown into a wild fantasy world. In late 1998, however, Lee left Image Comics and sold Wildstorm to DC Comics. Lee's career as a publisher had mostly precluded art jobs and he desired to return to his roots as an illustrator. In 2003 he collaborated on a 12 issue run on Batman with writer Jeph Loeb that became a runaway sales success (See Batman: Hush). This was followed by a year's stint on Superman, with writer Brian Azzarello. In 2005, Lee teamed with Frank Miller on the new series All Star Batman and Robin, the Boy Wonder. Lee continues to run the company he founded, working side by side with new artists. Notable former WildStorm artists include J. Scott Campbell and Travis Charest. In July 2006, Jim Lee will return to WildC.A.T.s with Grant Morrison as the writer. Lee plans to pencil both WildC.A.T.s and All Star Batman and Robin, completed an issue of each every 6 weeks, as Lee claims he will not leave the Batman title until Frank Miller has finished his story.","August 11, 1964",0,"Seoul, South Korea"
10,"James Dale Robinson",10_20080802001226_creator.jpg,"James Dale Robinson, usually referred to as just \James Robinson\, is a British writer of comic books and screenplays and known for his interest in old collectibles and memorabilia. His most famous work is Starman, where he took a fairly obscure character and revitalized him to considerable critical acclaim. In 1997, Robinson's work on the title garnered him an Eisner Award, for the Best Serialized Story. He is also famous for his comic The Golden Age, which, despite being outside the normal DC universe continuity as an Elseworlds story, still established much of the backstory he would later use in Starman. He has also written the Batman book Legends of the Dark Knight, JSA, Hawkman, and his own creation Leave it to Chance, for which Robinson won two more Eisner Awards in 1997, for Best New Series and Best Title for Younger Readers. In addition to his work in comics, Robinson wrote the screenplay for the 2003 movie version of The League of Extraordinary Gentlemen. This caused some controversy among fans of the original work, many of whom were disappointed that an established comics writer's take on Alan Moore's and Kevin O'Neill's series took so many liberties with and considerably changed the tone of the source material.","April 1, 1963",0,"Manchester, England, UK"
11,"Tony Harris",11_20070323083419_creator.jpg,"Nineteen-time nominee and two-time winner of the Will Eisner Comics Industry Award, Tony Harris began his professional career as an illustrator at the age of 19, self-publishing B.L.A.D.E. through his own label Buccaneer Publications. Tony moved on to co-create books such as Starman, Ex Machina, and Obergeist with James Robinson, Brian K. Vaughan, and Dan Jolley, as well as illustrating fan favorite minis such as Doctor Strange: The Flight Of Bones, JSA: The Liberty File, and its Eisner Award–nominated sequel, JSA: The Unholy Three (all with Dan Jolley). 2015 sees Tony celebrating his 25th year as a working illustrator, as well as the 20th and 10th anniversaries of Starman and Ex Machina, respectively. He is currently a prolific cover illustrator and is developing his long-awaited creator-owned book, Roundeye: For Love, with Starman co-creator James Robinson, which reunites the pair after twenty-plus years!",1968,0,
12,"Teddy Halkier Kristiansen",,"None entered.","July 26, 1964",0,
13,"Christian Hojgaard",,"None entered.",,0,
